x_dom , y_odom , x_estimate , y_estimate
-1.2349309031480976e-06,8.217829754792372e-07,0.024028390161577137,-0.1730654041495328
-8.072766721404723e-07,8.124773381419742e-07,0.005683100990489099,-0.20682069604897965
-9.915496724269217e-07,8.164888783160028e-07,-0.0029796347150083,-0.22276014044241524
-9.257521263925139e-07,8.150581879620276e-07,-0.006813836644138598,-0.22981506384502354
-9.171983229327847e-07,8.148719041038447e-07,-0.008125128889008558,-0.2322278400077283
-5.371734273323889e-07,8.06598411164924e-07,-0.008046600735269882,-0.23208331205983296
-8.292922283029042e-07,8.129641588826003e-07,-0.007178400490506746,-0.2304858520062879
-9.180270766756665e-07,8.1489785822161e-07,-0.005857452988359198,-0.22805531774646623
-9.034352551600033e-07,8.145799466724891e-07,-0.004280955275153068,-0.22515456153389035
-1.0396555119293445e-06,8.175481451534974e-07,-0.002568003243785143,-0.22200274307180162
-1.1511874489873972e-06,8.199814314158817e-07,-0.0007921693046278557,-0.21873521929276546
-1.2089430885808573e-06,8.212424319288563e-07,0.0010005313881726607,-0.21543665565706419
-1.1385188980101948e-06,8.197064085620538e-07,0.0027811740291076538,-0.21216026776153477
-9.300318718621607e-07,8.151513873338192e-07,0.0045316930595069305,-0.20893929605802455
-1.2116108811576292e-06,8.213078424517507e-07,0.006241111649708817,-0.20579398977556693
-1.2002673990701409e-06,8.210607842129431e-07,0.00790283726234031,-0.20273641423959216
-1.068650604252666e-06,8.181808454091902e-07,0.009513435527939365,-0.1997729036175576
-6.802812491152582e-07,8.096736353666247e-07,0.011071424775652533,-0.19690617423200515
-8.994851139803625e-07,8.144833500371012e-07,0.012576774579133027,-0.19413634834250335
-9.087989209857512e-07,8.146874818813084e-07,0.014030088569203437,-0.1914622521609498
-1.0879413254872585e-06,8.186171690744907e-07,0.015432694298094407,-0.18888147146605194
-1.1709776329105747e-06,8.204398448414606e-07,-0.007008703281424746,-0.1825122748244113
-1.1910249258556962e-06,8.208820822160493e-07,0.018092360856900937,-0.18398769333798673
-1.0960866221679653e-06,8.187970431785072e-07,0.01935316864202386,-0.18166780087433343
-1.109630100415693e-06,8.19094861521493e-07,0.02057058922482871,-0.1794277484190665
-1.2258018229627133e-06,8.216525127522639e-07,0.021746571765795614,-0.1772639487483493
-9.491586329730563e-07,8.155587673344265e-07,0.043418136776358744,-0.17822434404944892
-6.931876690688406e-07,8.099207453459884e-07,0.023981682014889,-0.17315131219937757
-8.924545605733009e-07,8.143172133618136e-07,0.025044551793751035,-0.17119564529322934
-1.1385877579388665e-06,8.197538420230962e-07,0.026073225198576563,-0.16930290222052916
-1.1410615909268319e-06,8.198106818945088e-07,0.027069290888601685,-0.1674701418710345
